TITULAR;UNIDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ACCIDENTE;CATEGORIA;FECHA_ACCIDENTE;FECHA_FALLECIMIENTO
CEMENTOS PACASMAYO S.A.A.;EMBOSCADA;CAJAMARCA;SAN MARCOS;GREGORIO PITA;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL CARGUÍO Y DESCARGA DE MINERAL/DESMONTE;Gran y Mediana Minería;24/04/2002;24/04/2002
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;27/04/2002;27/04/2002
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;8/05/2002;8/05/2002
MINAS ARIRAHUA S.A.;BARRENO;AREQUIPA;CONDESUYOS;YANAQUIHUA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;10/05/2002;10/05/2002
COMPAÑIA EXPLOTADORA DE LAS MINAS DE COLQUIPOCRO S.A.C.;COLQUIPOCRO;ANCASH;HUAYLAS;PAMPAROMAS;CAÍDAS DE PERSONAS;Pequeña Minería;12/05/2002;13/05/2002
SOCIEDAD MINERA CORONA S.A.;CAROLINA Nº1;CAJAMARCA;HUALGAYOC;HUALGAYOC;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;14/05/2002;14/05/2002
COMPAÑIA MINERA NUEVA CALIFORNIA S.A.;NUEVA CALIFORNIA;ANCASH;YUNGAY;YUNGAY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Pequeña Minería;17/05/2002;17/05/2002
COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;SAN VICENTE;JUNIN;CHANCHAMAYO;VITOC;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;4/06/2002;4/06/2002
COMPAÑIA MINERA PODEROSA S.A.;LIBERTAD;LA LIBERTAD;PATAZ;PATAZ;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/06/2002;6/06/2002
NYRSTAR ANCASH S.A.;PUCARRAJO;ANCASH;HUARI;SAN MARCOS;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;17/06/2002;18/06/2002
EMPRESA MINERA LOS QUENUALES S.A.;ISCAYCRUZ (EX DEE);LIMA;OYON;OYON;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL MANIPULEO DE MATERIALES;Gran y Mediana Minería;23/06/2002;23/06/2002
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/07/2002;6/07/2002
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;OTROS;Gran y Mediana Minería;11/07/2002;11/07/2002
EMPRESA MINERA ISCAYCRUZ SA;ISCAYCRUZ (EX DEE);LIMA;OYON;OYON;CAÍDAS DE PERSONAS;Minería Artesanal;18/07/2002;18/07/2002
NYRSTAR ANCASH S.A.;PUCARRAJO;ANCASH;HUARI;SAN MARCOS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;31/07/2002;31/07/2002
INVERSIONES MINERAS DEL SUR S.A.;CARAVELI;AREQUIPA;CARAVELI;CARAVELI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/08/2002;6/08/2002
COMPAÑIA MINERA VALOR S.A.;HUACHOCOLPA UNO;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;9/08/2002;9/08/2002
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;11/08/2002;11/08/2002
MINERA PACHAPAQUI S.A.C.;PACHAPAQUI;ANCASH;BOLOGNESI;AQUIA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;24/08/2002;24/08/2002
COMPAÑIA MINERA SANTA LUISA S.A.;SANTA LUISA;ANCASH;BOLOGNESI;HUALLANCA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;2/09/2002;2/09/2002
UNION ANDINA DE CEMENTOS S.A.A.;ATOCONGO;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;CAÍDAS DE PERSONAS;Gran y Mediana Minería;22/09/2002;22/09/2002
SOCIEDAD MINERA CORONA S.A.;CAROLINA Nº1;CAJAMARCA;HUALGAYOC;HUALGAYOC;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;29/09/2002;20/09/2002
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;30/09/2002;30/09/2002
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;1/10/2002;1/10/2002
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;1/10/2002;1/10/2002
COMPAÑIA MINERA ARES S.A.C.;SELENE;APURIMAC;AYMARAES;COTARUSE;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;14/10/2002;14/10/2002
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;21/10/2002;21/10/2002
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;28/10/2002;28/10/2002
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;29/10/2002;29/10/2002
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;31/10/2002;31/10/2002
COMPAÑIA MINERA ANTAMINA S.A.;ANTAMINA;ANCASH;HUARI;SAN MARCOS;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;6/11/2002;6/11/2002
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Pequeña Minería;17/11/2002;17/11/2002
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;23/11/2002;23/11/2002
SOCIEDAD MINERA ARURI S.A.C EN LIQUIDACION;MINA CORICANCHA;LIMA;HUAROCHIRI;SAN MATEO;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;23/11/2002;23/11/2002
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;23/11/2002;23/11/2002
CONCENTRADORA DE MINERALES FORTUNA S.A.C.;CONC.TAMBORAQUE;LIMA;HUAROCHIRI;CHICLA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;23/11/2002;23/11/2002
COMPAÑIA MINERA SANTA LUISA S.A.;SANTA LUISA;ANCASH;BOLOGNESI;HUALLANCA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;23/11/2002;23/11/2002
COMPAÑIA MINERA ARES S.A.C.;ARES;AREQUIPA;CASTILLA;ORCOPAMPA;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL MANIPULEO DE MATERIALES;Gran y Mediana Minería;25/11/2002;25/11/2002
MINERA YANACOCHA S.R.L.;CHAUPILOMA SUR;CAJAMARCA;CAJAMARCA;CAJAMARCA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;3/12/2002;3/12/2002
CONSORCIO MINERO HORIZONTE S.A.;PARCOY DE TRUJILLO;LA LIBERTAD;PATAZ;PARCOY;ACARREO Y TRANSPORTE;Gran y Mediana Minería;2/01/2003;21/01/2003
