TITULAR;UNIDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ACCIDENTE;CATEGORIA;FECHA_ACCIDENTE;FECHA_FALLECIMIENTO
CONSORCIO MINERO HORIZONTE S.A.;CACHICA;LA LIBERTAD;PATAZ;HUAYO;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;5/02/2004;5/02/2004
EMPRESA MINERA NATIVIDAD S.A.;MOROCOCHA;JUNIN;YAULI;MOROCOCHA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;10/02/2004;10/02/2004
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;12/02/2004;12/02/2004
ARUNTANI S.A.C.;TUCARI;MOQUEGUA;MARISCAL NIETO;CARUMAS;OTROS TIPOS - DESCARGA ELECTRICA POR RAYO;Gran y Mediana Minería;13/02/2004;13/02/2004
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;13/02/2004;13/02/2004
PERUBAR S A;CASAPALCA-7;LIMA;HUAROCHIRI;CHICLA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;19/02/2004;19/02/2004
PERUBAR S A;CASAPALCA-7;LIMA;HUAROCHIRI;CHICLA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;19/02/2004;19/02/2004
PERUBAR S A;CASAPALCA-7;LIMA;HUAROCHIRI;CHICLA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;19/02/2004;19/02/2004
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;3/03/2004;3/03/2004
SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C.;AUSTRIA DUVAZ;JUNIN;YAULI;MOROCOCHA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;8/03/2004;8/03/2004
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;8/03/2004;8/03/2004
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;8/03/2004;8/03/2004
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;OTROS TIPOS - DESCARGA ELECTRICA POR RAYO;Gran y Mediana Minería;14/03/2004;14/03/2004
INVERSIONES MINERAS DEL SUR S.A.;CARAVELI;AREQUIPA;CARAVELI;CARAVELI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;16/03/2004;16/03/2004
VOLCAN COMPAÑÍA MINERA S.A.A.;ANDAYCHAGUA;JUNIN;YAULI;YAULI;CAÍDAS DE PERSONAS;Gran y Mediana Minería;23/03/2004;23/03/2004
VOLCAN COMPAÑÍA MINERA S.A.A.;ANDAYCHAGUA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;30/03/2004;30/03/2004
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL CARGUÍO Y DESCARGA DE MINERAL/DESMONTE;Gran y Mediana Minería;13/04/2004;13/04/2004
MITSUI MINING & SMELTING CO. LTDA. SUCURSAL DEL PERU;PALCA;ANCASH;BOLOGNESI;PACLLON;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;15/04/2004;15/04/2004
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;ORCOPAMPA;AREQUIPA;CASTILLA;ORCOPAMPA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;19/04/2004;19/04/2004
SOCIEDAD MINERA CORONA S.A.;YAURICOCHA;LIMA;YAUYOS;ALIS;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;26/04/2004;26/04/2004
COMPAÑIA MINERA NUEVA CALIFORNIA S.A.;NUEVA CALIFORNIA;ANCASH;YUNGAY;YUNGAY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Pequeña Minería;30/04/2004;30/04/2004
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;COBRIZA 1126;HUANCAVELICA;CHURCAMPA;SAN PEDRO DE CORIS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;4/05/2004;4/05/2004
NYRSTAR ANCASH S.A.;PUCARRAJO;ANCASH;HUARI;SAN MARCOS;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;22/05/2004;22/05/2004
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;4/06/2004;4/06/2004
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;ATRAPADO POR SUCCIÓN DE MINERAL / DESMONTE;Gran y Mediana Minería;6/06/2004;6/06/2004
EMPRESA DE TRANSPORTES CORPORACION LOGISTICA E.I.R.L.;SIGLO NUEVO;LIMA;OYON;OYON;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;8/06/2004;8/06/2004
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;9/06/2004;9/06/2004
COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.;CABALLO VIEJO;JUNIN;JAUJA;CURICACA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;17/06/2004;17/06/2004
CIA MINERA HUARON S A;HUARON;PASCO;PASCO;HUAYLLAY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;23/06/2004;23/06/2004
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;24/06/2004;24/06/2004
INVERSIONES MINERAS DEL SUR S.A.;CARAVELI;AREQUIPA;CARAVELI;CARAVELI;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;26/06/2004;26/06/2004
COMPAÑIA MINERA SANTA LUISA S.A.;EL RECUERDO;ANCASH;BOLOGNESI;HUALLANCA;OTROS;Gran y Mediana Minería;29/06/2004;29/06/2004
COMPAÑIA MINERA PODEROSA S.A.;LA PODEROSA DE TRUJILLO;LA LIBERTAD;PATAZ;PATAZ;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;2/07/2004;5/07/2004
COMPAÑIA MINERA NUEVA CALIFORNIA S.A.;NUEVA CALIFORNIA;ANCASH;YUNGAY;YUNGAY;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Pequeña Minería;9/08/2004;9/08/2004
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;14/08/2004;14/08/2004
COMPAÑIA MINERA ARES S.A.C.;ARCATA;AREQUIPA;CONDESUYOS;CAYARANI;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;17/08/2004;17/08/2004
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;1/09/2004;1/09/2004
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;8/09/2004;8/09/2004
INKABOR S.A.C.;RIO SECO;AREQUIPA;AREQUIPA;CERRO COLORADO;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL MANIPULEO DE MATERIALES;Gran y Mediana Minería;12/09/2004;12/09/2004
MINERA BARRICK MISQUICHILCA S.A.;DERECHO ESPECIAL DEL ESTADO Nº 2;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;23/09/2004;23/09/2004
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;9/10/2004;9/10/2004
COMPAÑIA MINERA ARGENTUM S.A.;ANTICONA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;15/10/2004;15/10/2004
COMPAÑIA MINERA ARGENTUM S.A.;ANTICONA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;15/10/2004;15/10/2004
INVERSIONES MINERAS DEL SUR S.A.;ANTAPITE;HUANCAVELICA;HUAYTARA;OCOYO;CAÍDAS DE PERSONAS;Gran y Mediana Minería;16/10/2004;17/10/2004
COMPAÑIA MINERA ANTAMINA S.A.;ANTAMINA;ANCASH;HUARI;SAN MARCOS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;18/10/2004;18/10/2004
COMPAÑIA MINERA ANTAMINA S.A.;ANTAMINA;ANCASH;HUARI;SAN MARCOS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;18/10/2004;18/10/2004
COMPAÑIA MINERA COLQUIRRUMI S.A.;ABASTECEDORA;CAJAMARCA;HUALGAYOC;HUALGAYOC;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;22/10/2004;22/10/2004
COMPAÑIA MINERA ARGENTUM S.A.;ANTICONA;JUNIN;YAULI;YAULI;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL CARGUÍO Y DESCARGA DE MINERAL/DESMONTE;Gran y Mediana Minería;13/11/2004;13/11/2004
COMPAÑIA MINERA PODEROSA S.A.;LA PODEROSA DE TRUJILLO;LA LIBERTAD;PATAZ;PATAZ;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;13/11/2004;13/11/2004
SOCIEDAD MINERA EL BROCAL S.A.A.;COLQUIJIRCA N°1;PASCO;PASCO;SIMON BOLIVAR;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;14/11/2004;14/11/2004
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;17/11/2004;17/11/2004
CONSORCIO MINERO HORIZONTE S.A.;PARCOY DE TRUJILLO;LA LIBERTAD;PATAZ;PARCOY;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;17/11/2004;17/11/2004
CIA MINERA HUARON S A;HUARON;PASCO;PASCO;HUAYLLAY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;2/12/2004;2/12/2004
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;ORCOPAMPA;AREQUIPA;CASTILLA;ORCOPAMPA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;20/01/2005;20/01/2005
VOLCAN COMPAÑÍA MINERA S.A.A.;CARAHUACRA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;30/01/2005;30/01/2005
VOLCAN COMPAÑÍA MINERA S.A.A.;CARAHUACRA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;30/01/2005;30/01/2005
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;COBRIZA 1126;HUANCAVELICA;CHURCAMPA;SAN PEDRO DE CORIS;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;7/02/2005;7/02/2005
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;ATRAPADO EN CHUTES O TOLVAS Y OTROS DURANTE DESATORO;Gran y Mediana Minería;8/02/2005;8/02/2005
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;14/02/2005;14/02/2005
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;14/02/2005;14/02/2005
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Pequeña Minería;16/02/2005;17/02/2005
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Pequeña Minería;16/02/2005;17/02/2005
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Pequeña Minería;16/02/2005;17/02/2005
NYRSTAR ANCASH S.A.;PUCARRAJO;ANCASH;HUARI;SAN MARCOS;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;28/02/2005;28/02/2005
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;10/03/2005;10/03/2005
MINAS ARIRAHUA S.A.;BARRENO;AREQUIPA;CONDESUYOS;YANAQUIHUA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;11/03/2005;11/03/2005
MINERA HUINAC S.A.C.;ADMIRADA-ATILA;ANCASH;AIJA;LA MERCED;ACARREO Y TRANSPORTE;Pequeña Minería;13/03/2005;13/03/2005
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;21/03/2005;20/03/2005
LAS BAMBAS HOLDINGS S.A.;FERROBAMBA;APURIMAC;COTABAMBAS;CHALLHUAHUACHO;CAÍDAS DE PERSONAS;Gran y Mediana Minería;21/03/2005;21/03/2005
VOLCAN COMPAÑÍA MINERA S.A.A.;SAN CRISTOBAL;JUNIN;YAULI;YAULI;CAÍDAS DE PERSONAS;Gran y Mediana Minería;29/03/2005;29/03/2005
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;1/04/2005;1/04/2005
SOCIEDAD MINERA CORONA S.A.;YAURICOCHA;LIMA;YAUYOS;ALIS;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;4/04/2005;4/04/2005
VOLCAN COMPAÑÍA MINERA S.A.A.;SAN CRISTOBAL;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;7/04/2005;7/04/2005
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;9/04/2005;9/04/2005
SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C.;AUSTRIA DUVAZ;JUNIN;YAULI;MOROCOCHA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;14/04/2005;14/04/2005
COOPERATIVA MINERA MINAS CANARIA LTDA.;CATALINA HUANCA;AYACUCHO;VICTOR FAJARDO;CANARIA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;16/04/2005;16/04/2005
CIA MINERA HUARON S A;HUARON;PASCO;PASCO;HUAYLLAY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;2/05/2005;2/05/2005
MINSUR SA;ACUMULACION QUENAMARI - SAN RAFAEL;PUNO;MELGAR;ANTAUTA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;4/05/2005;4/05/2005
CONSORCIO MINERO HORIZONTE S.A.;PARCOY DE TRUJILLO;LA LIBERTAD;PATAZ;PARCOY;OTROS TIPOS - IZAJE DE EQUIPOS;Gran y Mediana Minería;8/05/2005;8/05/2005
CONSORCIO MINERO HORIZONTE S.A.;PARCOY DE TRUJILLO;LA LIBERTAD;PATAZ;PARCOY;OTROS TIPOS - IZAJE DE EQUIPOS;Gran y Mediana Minería;8/05/2005;8/05/2005
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;10/05/2005;10/05/2005
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;OTROS TIPOS - IZAJE DE EQUIPOS;Gran y Mediana Minería;27/05/2005;27/05/2005
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;7/06/2005;7/06/2005
CEDIMIN S.A.C. COMPAÑIA DE EXPLORACIONES DESARROLLO E INVERSIONES MINERAS SAC.;CHAQUELLE;AREQUIPA;CASTILLA;CHOCO;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;14/06/2005;14/06/2005
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;C.M.LA OROYA-REFINACION 1 Y 2;JUNIN;YAULI;LA OROYA;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL CARGUÍO Y DESCARGA DE MINERAL/DESMONTE;Gran y Mediana Minería;17/06/2005;17/06/2005
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;1/07/2005;6/07/2005
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL CARGUÍO Y DESCARGA DE MINERAL/DESMONTE;Gran y Mediana Minería;8/07/2005;8/07/2005
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;JULCANI;HUANCAVELICA;ANGARAES;CCOCHACCASA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;9/07/2005;9/07/2005
COMPAÑIA MINERA VALOR S.A.;HUACHOCOLPA UNO;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;12/07/2005;12/07/2005
MINSUR SA;ACUMULACION QUENAMARI - SAN RAFAEL;PUNO;MELGAR;ANTAUTA;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;29/07/2005;29/07/2005
MINERA AURIFERA RETAMAS S.A.;RETAMAS;LA LIBERTAD;PATAZ;PARCOY;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;12/08/2005;12/08/2005
COMPAÑIA MINERA ARGENTUM S.A.;ANTICONA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;24/08/2005;24/08/2005
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;OTROS - ESTALLIDO DE ROCAS;Gran y Mediana Minería;31/08/2005;31/08/2005
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;3/09/2005;3/09/2005
OBRAS CIVILES Y MINERAS S.A.C.;MAZZINI;LIMA;OYON;OYON;OTROS TIPOS - IZAJE DE EQUIPOS;Pequeña Minería;12/09/2005;12/09/2005
OBRAS CIVILES Y MINERAS S.A.C.;MAZZINI;LIMA;OYON;OYON;OTROS TIPOS - IZAJE DE EQUIPOS;Pequeña Minería;12/09/2005;12/09/2005
OBRAS CIVILES Y MINERAS S.A.C.;MAZZINI;LIMA;OYON;OYON;OTROS TIPOS - IZAJE DE EQUIPOS;Pequeña Minería;12/09/2005;12/09/2005
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;MARTA;HUANCAVELICA;HUANCAVELICA;HUANDO;CAÍDAS DE PERSONAS;Gran y Mediana Minería;17/09/2005;17/09/2005
SOCIEDAD MINERA CORONA S.A.;YAURICOCHA;LIMA;YAUYOS;ALIS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;18/09/2005;18/09/2005
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;20/09/2005;20/09/2005
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;24/10/2005;24/10/2005
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;27/10/2005;27/10/2005
EMPRESA ARENERA SOC DE RESP LTDA;ESCORPION 1000;APURIMAC;ABANCAY;PICHIRHUA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;31/10/2005;31/10/2005
EMPRESA ARENERA SOC DE RESP LTDA;ESCORPION 1000;APURIMAC;ABANCAY;PICHIRHUA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;31/10/2005;31/10/2005
EMPRESA ARENERA SOC DE RESP LTDA;ESCORPION 1000;APURIMAC;ABANCAY;PICHIRHUA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;31/10/2005;31/10/2005
NEXA RESOURCES PERU S.A.A.;MILPO Nº1;PASCO;PASCO;YANACANCHA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;15/11/2005;15/11/2005
NEXA RESOURCES PERU S.A.A.;MILPO Nº1;PASCO;PASCO;YANACANCHA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;15/11/2005;15/11/2005
MINERA YANACOCHA S.R.L.;ALMARIS 03;CAJAMARCA;SAN MIGUEL;SAN GREGORIO;CAÍDAS DE PERSONAS;Gran y Mediana Minería;16/11/2005;16/11/2005
CATALINA HUANCA SOCIEDAD MINERA S.A.C.;CATALINA HUANCA;AYACUCHO;VICTOR FAJARDO;CANARIA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;17/11/2005;17/11/2005
MONTES VASQUEZ NICOLAS MELQUIADES;LIZANDRO I;ANCASH;YUNGAY;MATACOTO;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Sin Categoría;18/11/2005;18/11/2005
MONTES VASQUEZ NICOLAS MELQUIADES;LIZANDRO I;ANCASH;YUNGAY;MATACOTO;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Sin Categoría;18/11/2005;18/11/2005
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;19/11/2005;19/11/2005
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;PIRCOS CIRATO;CAJAMARCA;SANTA CRUZ;SEXI;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;25/11/2005;25/11/2005
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;6/12/2005;6/12/2005
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;6/12/2005;6/12/2005
BRAVO CHUQUIHUARANGA JAVIER ALFREDO;ORO BLANCO II;HUANUCO;HUANUCO;HUANUCO;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Pequeña Minería;8/12/2005;8/12/2005
BRAVO CHUQUIHUARANGA JAVIER ALFREDO;ORO BLANCO II;HUANUCO;HUANUCO;HUANUCO;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Pequeña Minería;8/12/2005;8/12/2005
SIENNA MINERALS S.A.C.;IGOR;LA LIBERTAD;OTUZCO;HUARANCHAL;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;11/12/2005;11/12/2005
CATALINA HUANCA SOCIEDAD MINERA S.A.C.;CATALINA HUANCA;AYACUCHO;VICTOR FAJARDO;CANARIA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;17/12/2005;17/12/2005
VOLCAN COMPAÑÍA MINERA S.A.A.;CARAHUACRA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;21/12/2005;21/12/2005
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;OTROS - ESTALLIDO DE ROCAS;Gran y Mediana Minería;30/12/2005;30/12/2005
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;OTROS - ESTALLIDO DE ROCAS;Gran y Mediana Minería;30/12/2005;30/12/2005
